feature,importance
static_prio,0.23344857237062971
free_area_cache,0.11056153265825051
utime,0.1040854809197495
nvcsw,0.0922989405706845
vm_truncate_count,0.05497988485380263
end_data,0.045782421073312846
shared_vm,0.04566159493667132
exec_vm,0.043275548573793225
maj_flt,0.0421721093559458
map_count,0.03791483969489881
mm_users,0.0327137598698598
last_interval,0.029308527462370438
prio,0.028578393938963637
reserved_vm,0.026118903298387054
total_vm,0.022166045185871935
nivcsw,0.018825948515997882
stime,0.012120566741129742
fs_excl_counter,0.010875810198816463
gtime,0.007457820025406046
state,0.0011753839498216353
min_flt,0.0004779158056365532
